ID,Date,Description,Insight,Status,Comment/Next Step
11,4/18/2025,Smoking Status vs Stroke Distribution Analysis,"* Patients who never smoked make up the largest group in the dataset at 37.03%.
* A significant portion of the data (30.22%) falls under unknown smoking status. Due to its size, this category should be retained and analyzed carefully, rather than removed.
* Patients who formerly smoked show the highest stroke risk at 7.91%, while current smokers have a stroke rate of 5.32%.
* Interestingly, the stroke risk for current smokers (5.32%) is only slightly higher than that of never smokers (4.76%), suggesting that former smoking history may be a more critical risk signal than current smoking alone.",completed,Further data gathering and analysis is necessary to gain more insight about the effects of smoking are on the risk of having a stroke.
12,4/19/2025,Age Chi-Square Test Analysis,"Age had the highest total chi-square value, with strong contributions from senior and elderly patients, and a notably lower-than-expected stroke rate among young adults.

While no single age group contributed more than 40% of the total statistic, the combined variation across age groups makes age the most robust predictor of stroke risk in the dataset.     ",completed,Include age in final list of top predictors. Highlight variation across multiple age groups to support its role as the most robust predictor of stroke.
13,4/19/2025,Work Type Chi-Square Test Analysis,"The chi-square test confirms a statistically significant association between work type and stroke occurrence.

While no individual category contributed more than 100 to the test statistic, the largest contribution came from the ""children"" group, which had far fewer strokes than expected.

This likely reflects age-related protection rather than work type itself, suggesting that work type is not a strong standalone predictor of stroke risk in this dataset.",completed,"Note that work type is confounded by age due to the ""children"" category. Use this as supporting evidence for age being a dominant factor, but do not include work type as a standalone predictor."
14,4/19/2025,Glucose Level Chi-Square Test Analysis,"The chi-square test confirms a statistically significant association between glucose level and stroke occurrence.

Diabetic patients experienced stroke at a rate far higher than expected, contributing 76.44% of the total chi-square value.

This makes diabetes a strong individual predictor of stroke risk in this dataset.",completed,Include diabetes as a strong predictor in final ranking and recommendation. Emphasize the elevated stroke rate in diabetic patients.
15,4/19/2025,BMI Chi-Square Test Analysis,"This chi-square test confirms a statistically significant association between BMI and stroke occurrence. 

No individual category contributed a dominant share to the result (contribution > 100). 

This suggests that BMI may be a contributing factor, but not a strong standalone predictor of stroke risk in this dataset.",completed,"Acknowledge BMI as a moderate contributor. Optional to include in the final discussion, but not among the top 3–4 strongest predictors."
16,4/19/2025,Smoking Chi-Square Test Analysis,"This chi-square test confirms a statistically significant association between smoking status and stroke occurrence.

Patients who formerly smoked showed a moderately higher stroke rate than expected, contributing 57.46% (16.75 / 29.15) of the total chi-square value.

This suggests that smoking history may be a contributing factor, but not a strong standalone predictor of stroke risk in this dataset.",completed,Consider including smoking history in extended insights. Note that former smokers show slightly elevated risk but the overall feature has moderate contribution.
17,4/19/2025,Gender Chi-Square Test Analysis,"This chi-square test shows that gender is not a significant predictor of stroke, as the p-value exceeds the standard significance threshold of 0.05.

The chi-square statistic is 0.42, indicating a very weak association and minimal contribution to stroke occurrence.",completed,Exclude gender from final predictor ranking. No statistically significant association observed.
18,4/19/2025,Hypertension Chi-Square Test Analysis,"The chi-square test confirms a statistically significant association between hypertension and stroke occurrence.

Patients with hypertension experienced stroke at a notably higher rate than expected, contributing 86% (71.77 / 83.60) of the total chi-square value.

This makes hypertension one of the stronger individual predictors of stroke risk in this dataset, despite its contribution falling below the dominant threshold of 100.",completed,Include hypertension in final top predictors list. Strong association with stroke makes it one of the most relevant risk factors.
19,4/19/2025,Heart Disease Chi-Square Test Analysis,"The chi-square test confirms a statistically significant association between heart disease and stroke occurrence.

Patients with heart disease experienced stroke at a much higher rate than expected under independence (χ² contribution = 83.70 out of 93.01).

This makes heart disease one of the strongest individual predictors of stroke risk in this dataset.",completed,Include heart disease as a top predictor. Strong contribution confirms it as one of the most statistically significant stroke risk factors.
,,Residence Type Chi-Square Test Analysis,"The chi-square test confirms a statistically significant association between marital status and stroke occurrence (χ² = 59.98, p < 0.000001).

Married patients experienced more strokes than expected, while never married patients experienced far fewer.

The large chi-square contribution from the never married group reflects a protective effect, not an increased risk. This distinction is important—high contribution doesn't always mean high risk.

These results support earlier findings that being married or ever married is associated with a higher risk of stroke, while never married individuals appear significantly less likely to experience stroke.",completed,Exclude residence type from final analysis. No meaningful difference in stroke risk between urban and rural patients.
20,4/19/2025,Residence Type Chi-Square Test Analysis,"The chi-square test shows that residence type is not significantly associated with stroke occurrence (χ² = 1.22, p = 0.748).

Stroke rates were nearly identical between urban and rural patients, suggesting that residency type is not a meaningful predictor of stroke risk in this dataset.",completed,Now that the Chi-Square Test is complete. Rank the significant features according to strongest predictors of a patient having a stroke.
21,4/19/2025,Chi-Square Test Summary Table,"The Chi-Square Test summary highlights the most influential feature categories associated with either an increase or decrease in stroke occurrence.

Categories such as “never married” and “work type – children” were marked as negative contributors, as they significantly decrease the risk of stroke compared to their counterparts.

Together, “never married” and “child work type” account for approximately 60% of the total contribution toward reduced stroke risk in the model.

The contribution table also shows how much each significant feature category contributes to stroke risk. For example, having hypertension accounts for nearly 90% of the stroke risk associated with the hypertension feature, making it one of the most dominant predictors.",completed,Analyze the feature vs stroke data to determine which statistically significant features have the highest risk value for having a stroke.
22,4/19/2025,Top Stroke Risk Predictors by Feature Category Table,"After sorting the feature category with their respective stroke risk value, the features with the highest risks are elderly (21.51%), have heart disease (17.03%), have hypertension (13.25%), senior (11.85%), and diabetic (10%).

Because elderly and senior are both in the age category, we further narrow down our top risk factors to age, heart disease, hypertension, and glucose level. 

All of these values are significantly higher than our baseline risk factor of 4.87% (249 of the 51110 patients). ",completed,Use the top four features in bivariate vs stroke analysis to show their combined effect when assessing the risk of stroke.
23,4/20/2025,Age and Heart Disease Risk of Stroke Analysis,"Elderly patients with heart disease are at a 27.27% risk of having a stroke, while elderly patients without heart disease are at a 19.72% risk of having a stroke.

When compared to the individual risk factors, the presence of age and heart disease significantly increased the risk of having a stroke by six to ten percent. 

Except for pediatric and young adult patients, combining age with heart disease leads to a sharp rise in stroke risk.",completed,Proceed to age and hypertension risk of stroke analysis and explore the compounded effect of having both conditions on the risk of a patient having a stroke.
24,4/20/2025,Age and Hypertension Risk of Stroke Analysis,"Elderly patients with hypertension have a 26.00% stroke risk, compared to 19.85% for elderly patients without hypertension, indicating a significant increase when both risk factors are present.

When compared to the individual risk factors alone, the combination of age and hypertension increases stroke risk by approximately 4% to 13%, depending on the age group.

With the exception of pediatric patients, the presence of hypertension consistently leads to a sharp increase in stroke risk across all age groups, highlighting the compounding effect of age and hypertension.",completed,"Continue on to age and glucose level combination. 

Consider narrowing down the glucose levels to diabetic and non-diabetic for optimal visualization and analysis."
25,4/20/2025,Binary Glucose Category Column,"To facilitate a more targeted analysis about the effect of diabetes on different age groups, a column that classifies non-diabetic (<125) and diabetic (125+) patients was created.",completed,Proceed to visualizing and analyzing Age  + Glucose Level vs Stroke analysis.
26,4/20/2025,Age and Glucose Level Risk of Stroke Analysis,"Based on the heatmap visualization of the stroke risk of each age and glucose level combination, senior and elderly patients that have diabetes have the strongest risk of having a stroke.

Narrowing down our glucose level to non-diabetic and diabetic, the bar chart shows that middle aged adults and seniors that have diabetes are about twice as much at risk of having a stroke when compared to the same group that do not have diabetes.

Elderly patients do not show a significant change in their risk of having a stroke when diabetes or no-diabetes is factored in, staying nearly the same as the baseline 21.51% risk of having a stroke as an elderly patient.",completed,Continue on to analyzing heart disease and hypertension compounded effect on patient stroke risk.
27,4/20/2025,Heart Disease and Hypertension Risk of Stroke Analysis,"Patients with both heart disease and hypertension show a 20.31% risk of stroke, representing a 3% to 7% increase over patients who have only one of these conditions.

Patients with neither heart disease nor hypertension have a stroke risk of 3.39%, which makes them four times less likely to experience a stroke than patients with both conditions.

Additionally, among patients with hypertension, those who do not also have heart disease have a lower stroke risk than the overall hypertensive population, indicating that heart disease compounds the stroke risk introduced by hypertension.",completed,Analyze the interaction between heart disease and glucose level in terms of its effect on stroke occurrence. 
28,4/20/2025,Heart Disease and Glucose Level Risk of Stroke Analysis,"Based on the heatmap visualization of stroke risk by heart disease status and glucose level, patients with both heart disease and diabetes exhibit the highest observed stroke risk in the dataset — 25.00%.

When glucose levels are simplified to non-diabetic vs diabetic, the chart shows that patients with heart disease and diabetes are more than twice as likely to have a stroke than those with heart disease but not diabetes.

Patients with diabetes but no heart disease have a stroke risk of 8.03%, making them three times less likely to have a stroke than patients with both conditions.

Compared to individual risk factors, patients with both heart disease and diabetes experience a compounded stroke risk that increases by 8% to 15%, highlighting the additive nature of these two features.",completed,Proceed to analyzing the effect of hypertension and glucose level and how this combination affects the patient's risk of stroke. 
29,4/20/2025,Hypertension and Glucose Level Risk of Stroke Analysis,"This analysis explores the stroke risk among patients with different combinations of hypertension status and glucose level.

Patients with both hypertension and diabetes exhibit a 17.02% stroke risk, which is approximately two times higher than those with diabetes alone (10.00%), and significantly higher than those with hypertension alone (13.25%).

Patients with neither condition show a low stroke risk of 3.03%, confirming the compounding nature of these two risk factors.

Overall, having both hypertension and diabetes increases stroke risk by 4% to 7% compared to having just one of the two conditions.",completed,Create a summary table that compiles the combined effect of each feature pairing in the likelihood that a patient will have a stroke.
30,4/20/2025,Bivariate Analysis Summary Table,"The following table summarizes the highest observed stroke risks from all bivariate analyses. Each entry represents the stroke risk for patients who exhibit both risk factors listed in the ""Combined Features"" column.

The combination of elderly and heart disease has the highest observed stroke risk at 27.27%, followed by elderly patients with hypertension (26.00%) and patients with both heart disease and diabetes (25.00%).

These results reinforce the importance of compounding risk factors in stroke prediction and provide a strong justification for moving into multivariate analysis.",completed,"Create a multivariate example to demonstrate the potential of higher-order feature combinations. This will serve as a preview of how compounding risk factors can be assessed beyond simple bivariate comparisons.

While a full implementation is outside the scope of this analysis, such multivariate comparisons would be best addressed using machine learning (ML) models or logistic regression to capture interaction effects and non-linear patterns.

Based on the bivariate summary table, consider testing combinations such as:

Elderly + Heart Disease + Hypertension

Elderly + Heart Disease + Diabetes

These combinations represent the highest observed bivariate stroke risks, and are likely to produce some of the strongest compounded effects in a multivariate context."
31,4/20/2025,Stroke Risk for Elderly Patients by Heart Disease and Hypertension Status,"This visualization compares stroke risk for elderly patients, segmented by heart disease and hypertension status. It highlights how stroke risk increases as more risk factors are present, peaking at 28.57% for elderly patients with both heart disease and hypertension.

While this example explores only 4 of the 20 possible category combinations for age, heart disease, and hypertension, it illustrates how multivariate patterns quickly become complex. A full exploration of 3-feature combinations would be better handled through statistical modeling or machine learning to account for all interactions and subgroup variations.",completed,Select another 3-feature combination to present as a multivariate analysis example.
32,4/20/2025,Stroke Risk for Elderly Patients by Heart Disease and Diabetes Status,"This 3-feature analysis examined stroke risk among elderly patients, segmented by heart disease and diabetes status.

Patients with both heart disease and diabetes had a stroke risk of 40.00%, the highest observed rate in this project. This is nearly 8× the overall population risk and more than 2× higher than the individual risk associated with either feature alone.

The chart captures only 4 of the 20 possible combinations in this 3-feature space (using diabetic/non-diabetic as a binary glucose category). Expanding to include all glucose levels would increase this to 40 combinations, reinforcing the case for statistical modeling or ML methods for full exploration.",completed,Select and collect significant findings that will be used in the final report and presentation. 
33,4/20/2025,EDA Phase Completed,"The exploratory data analysis phase is now complete. All relevant features have been analyzed individually, in bivariate combinations, and through selected multivariate examples. The top stroke risk predictors have been identified and prioritized for reporting.

Next Steps:

Gather all materials and finalize the report coverage and flow

Write, check, and proofread the final report

Publish the final report

Update the project README

Download final versions of Sheets and data

Update repositories and ensure all artifacts are version-controlled",completed,Begin final report writing and project publishing phase.
